Item Name,Date Created,Date Modified,File Size (Bytes),MD5 Hash,File Path
file_7.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,4998b84e4c694502e23c2467e1f9a874,/Users/jordan/projects/scanner-inventory/test-data/child_folder_3/file_7.txt
file_6.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,a15d967fc2f31d2665db0d81df87a783,/Users/jordan/projects/scanner-inventory/test-data/child_folder_3/file_6.txt
file_4.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,1cbcce199f0859688193aa5461090624,/Users/jordan/projects/scanner-inventory/test-data/child_folder_3/file_4.txt
file_5.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,8eaad172ef3456404184c7250264496c,/Users/jordan/projects/scanner-inventory/test-data/child_folder_3/file_5.txt
file_1.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,6502988ddbc926c50732d2eb1f193509,/Users/jordan/projects/scanner-inventory/test-data/child_folder_3/file_1.txt
file_2.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,342b487ea9cdab7c902e88f8b329f78f,/Users/jordan/projects/scanner-inventory/test-data/child_folder_3/file_2.txt
file_3.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,10522fd57a8304c21fa3e855f14d8c5d,/Users/jordan/projects/scanner-inventory/test-data/child_folder_3/file_3.txt
file_10.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,49ca4bb308586176fe9b28da2c8d3215,/Users/jordan/projects/scanner-inventory/test-data/child_folder_3/file_10.txt
file_8.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,62daaebda1e2411d8e3c84ff95e0fddb,/Users/jordan/projects/scanner-inventory/test-data/child_folder_3/file_8.txt
file_9.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,c0fb4a24808686dc8672e1b685dc74aa,/Users/jordan/projects/scanner-inventory/test-data/child_folder_3/file_9.txt
file_7.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,b37a139bad5386c4b9660edd26ce181d,/Users/jordan/projects/scanner-inventory/test-data/child_folder_2/file_7.txt
file_6.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,7430e81a06d2b43872b39d8db1078f4f,/Users/jordan/projects/scanner-inventory/test-data/child_folder_2/file_6.txt
file_4.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,aa3e5467265fb7c2655db897f6123f12,/Users/jordan/projects/scanner-inventory/test-data/child_folder_2/file_4.txt
file_5.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,b34746a3fec5d71ee3fcbb92a48c40c1,/Users/jordan/projects/scanner-inventory/test-data/child_folder_2/file_5.txt
file_1.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,c062a13ff6f3992e964cd3b9e39950b3,/Users/jordan/projects/scanner-inventory/test-data/child_folder_2/file_1.txt
file_2.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,c4ca8842368509810bd0005783038dda,/Users/jordan/projects/scanner-inventory/test-data/child_folder_2/file_2.txt
file_3.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,cd529b35b6841d74715b8aa4eb0397f1,/Users/jordan/projects/scanner-inventory/test-data/child_folder_2/file_3.txt
file_10.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,a197b06444cedae7b2cc41d082fee37f,/Users/jordan/projects/scanner-inventory/test-data/child_folder_2/file_10.txt
file_8.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,2ec9a564fae0c80dc5d6334e2b2bbb38,/Users/jordan/projects/scanner-inventory/test-data/child_folder_2/file_8.txt
file_9.txt,2025-02-15 15:40:48,2025-02-15 13:39:58,1024,3003479b3c11a8696e0fb70d1e85d77d,/Users/jordan/projects/scanner-inventory/test-data/child_folder_2/file_9.txt
Screenshot 2025-02-15 at 3.58.59 PM.png,2025-02-15 16:00:32,2025-02-15 15:59:05,370067,f347a42376199a87a49f2e845400004a,/Users/jordan/projects/scanner-inventory/img/Screenshot 2025-02-15 at 3.58.59 PM.png
Screenshot 2025-02-15 at 3.59.50 PM.png,2025-02-15 16:00:32,2025-02-15 15:59:55,395772,bfaace26d9aecd33843ed3b0b0f16bc4,/Users/jordan/projects/scanner-inventory/img/Screenshot 2025-02-15 at 3.59.50 PM.png
